--名前|種族|難易度|生命力|同種族内出現率|釣り針|撒き餌|逃走確立|チューニング|腹中アイテム|腹中アイテム所持確率|希少度
Pot Crab|Pot Crab|VOID|0|0|0|None|VOID|VOID|VOID|0|VOID
Big Scissors|Big Scissors|VOID|0|0|0|None|VOID|VOID|VOID|0|VOID
Rust Imposter|Rust Imposter|VOID|0|0|0|None|VOID|VOID|VOID|0|VOID
Frog Deceiver|Frog Deceiver|VOID|0|0|0|None|VOID|VOID|VOID|0|VOID
Demon Crab|Demon Crab|VOID|0|0|0|None|VOID|VOID|VOID|0|VOID
Gedou|Gedou|#Easy|40|100|3|None|[0.5,0.05,0,0,0,0,0,0,0]|1|["Fish Hook No. 1"]|33|0
Rust Frog|Rust Frog|#Normal|50|95|3|Silver Bait Seal|[0.5,0.2,0.05,0,0,0,0,0,0]|1|["Fish Hook No. 1"]|33|0
Patina Rust Frog|Rust Frog|#Normal|50|5|3|Silver Bait Seal|[0.5,0.2,0.05,0,0,0,0,0,0]|1|["Fish Hook No. 1"]|33|1
Male Kyusui|Male Kyusui|#Hard|60|95|3|Premium Adaptation Fluid|[0.7,0.5,0.2,0,0,0,0,0,0]|1|["Fish Hook No. 1","Fish Hook No. 0"]|33|0
Albino Male Kyusui|Male Kyusui|#Hard|60|5|3|Premium Adaptation Fluid|[0.7,0.5,0.2,0,0,0,0,0,0]|1|["Fish Hook No. 1","Fish Hook No. 0"]|33|1
Dancing Eye|Dancing Eye|#Hard|55|94.5|1|Ru's Treasure|[0.2,0,0,0,0,0,0,0,0]|1|["Fish Hook No. 0"]|17|1
Vermillion Dancing Eye|Dancing Eye|#Hard|55|5|1|Ru's Treasure|[0.5,0,0,0,0,0,0,0,0]|1|["Fish Hook No. 0"]|17|2
Rainbow Dancing Eye|Dancing Eye|#Hard|55|1.5|0|Ru's Treasure|[0.5,0,0,0,0,0,0,0,0]|1|["Fish Hook No. 0"]|17|2
Horn Frog|Horn Frog|#Normal|75|95|6|Gold Bait Seal|[1,0.7,0.5,0.2,0.05,0,0,0,0]|2|["Fish Hook No. 2","Fish Hook No. 3"]|33|0
Albino Horn Frog|Horn Frog|#Normal|75|5|6|Gold Bait Seal|[1,0.7,0.5,0.2,0.05,0,0,0,0]|2|["Fish Hook No. 2","Fish Hook No. 3"]|33|1
Root Deceiver|Root Deceiver|#Easy|75|95|6|None|[1,0.5,0.2,0.05,0,0,0,0,0]|2|["Fish Hook No. 2"]|33|0
Albino Root Deceiver|Root Deceiver|#Easy|75|5|6|None|[1,0.5,0.2,0.05,0,0,0,0,0]|2|["Fish Hook No. 2"]|33|1
Unihorn|Unihorn|#Normal|90|95|6|Round Frog Oil Can|[1,1,1,0.5,0.2,0.05,0,0,0]|3|["Fish Hook No. 3","No.4 Fishing Hook"]|33|0
Albino Unihorn|Unihorn|#Normal|90|5|6|Round Frog Oil Can|[1,1,1,0.5,0.2,0.05,0,0,0]|3|["Fish Hook No. 3","No.4 Fishing Hook"]|33|1
Stab Mouth|Stab Mouth|#Normal|90|95|6|None|[1,1,0.7,0.5,0.2,0.05,0,0,0]|3|["No.4 Fishing Hook"]|33|0
Albino Stab Mouth|Stab Mouth|#Normal|90|5|6|None|[1,1,0.7,0.5,0.2,0.05,0,0,0]|3|["No.4 Fishing Hook"]|33|1
Spatula Mouth|Spatula Mouth|#Normal|100|95|6|Adaptation Fluid|[1,1,0.7,0.5,0.2,0.05,0,0,0]|3|["Fish Hook No. 3","No.4 Fishing Hook"]|33|0
Albino Spatula Mouth|Spatula Mouth|#Normal|100|5|6|Adaptation Fluid|[1,1,0.7,0.5,0.2,0.05,0,0,0]|3|["Fish Hook No. 3","No.4 Fishing Hook"]|33|1
Crab Eater|Crab Eater|#Hard|90|95|6|Red Crab Miso Can|[1,1,1,1,0.5,0.2,0,0,0]|3|["Fish Hook No. 8","No.4 Fishing Hook"]|33|0
